location_id,location_name,city,location_type,latitude,longitude,opening_hour,closing_hour,popularity_tier,max_capacity,popularity_weight
CAI_01,Egyptian Museum,Cairo,Museum,30.0478,31.2336,9,17,Tier1,6000,1.1
CAI_02,NMEC,Cairo,Museum,30.0061,31.2485,9,17,Tier2,5000,0.9
CAI_03,Salah El-Din Citadel,Cairo,Historical,30.0299,31.2615,8,17,Tier1,7000,1.1
CAI_04,Khan El Khalili,Cairo,Market,30.0478,31.2625,9,23,Tier1,10000,1.3
CAI_05,Al Muizz Street,Cairo,Historical,30.0524,31.262,8,23,Tier1,9000,1.1
CAI_06,Cairo Tower,Cairo,Leisure,30.0459,31.2243,9,23,Tier1,5000,1.2
CAI_07,Al Azhar Park,Cairo,Leisure,30.04,31.2688,9,22,Tier2,7000,0.9
GIZ_01,Pyramids of Giza,Giza,Historical,29.9792,31.1342,8,17,Tier1,12000,1.6
GIZ_02,Great Sphinx,Giza,Historical,29.9753,31.1376,8,17,Tier1,10000,1.4
GIZ_03,Grand Egyptian Museum,Giza,Museum,29.9884,31.1307,9,18,Tier1,15000,1.5
GIZ_04,Saqqara Necropolis,Giza,Historical,29.8711,31.2165,8,17,Tier2,5000,0.9
GIZ_05,Dahshur Pyramids,Giza,Historical,29.8017,31.2056,8,17,Tier3,3000,0.7
ALX_01,Bibliotheca Alexandrina,Alexandria,Cultural,31.2089,29.9092,9,19,Tier1,7000,1.25
ALX_02,Qaitbay Citadel,Alexandria,Historical,31.2136,29.8853,8,18,Tier1,6000,1.3
ALX_03,Catacombs of Kom El Shoqafa,Alexandria,Historical,31.182,29.89,9,17,Tier2,3000,0.9
ALX_04,Montaza Palace Gardens,Alexandria,Leisure,31.285,30.017,8,22,Tier1,10000,1.45
ALX_05,Stanley Bridge,Alexandria,Leisure,31.2456,29.9668,0,23,Tier2,12000,0.9
LUX_01,Karnak Temple,Luxor,Historical,25.7188,32.6573,6,17,Tier1,8000,1.5
LUX_02,Luxor Temple,Luxor,Historical,25.6996,32.6396,6,22,Tier1,7000,1.45
LUX_03,Valley of the Kings,Luxor,Historical,25.7402,32.6014,6,17,Tier1,9000,1.6
LUX_04,Hatshepsut Temple,Luxor,Historical,25.7382,32.6067,6,17,Tier1,7000,1.1
LUX_05,Valley of the Queens,Luxor,Historical,25.7277,32.5945,6,17,Tier2,4000,0.9
LUX_06,Luxor Museum,Luxor,Museum,25.7077,32.6396,9,17,Tier2,2500,0.9
ASW_01,Abu Simbel,Aswan,Historical,22.3372,31.6258,6,17,Tier1,7000,1.7
ASW_02,Philae Temple,Aswan,Historical,24.0258,32.8841,7,17,Tier1,6000,1.4
ASW_03,Nubian Village,Aswan,Cultural,24.0889,32.8998,8,20,Tier2,3000,0.9
ASW_04,Nubian Museum,Aswan,Museum,24.0822,32.8872,9,17,Tier2,2500,0.9
ASW_05,Unfinished Obelisk,Aswan,Historical,24.0767,32.899,7,17,Tier2,3000,0.9
SHM_01,Ras Mohammed,Sharm El Sheikh,Nature,27.7244,34.2583,6,18,Tier1,5000,1.5
SHM_02,SOHO Square,Sharm El Sheikh,Leisure,27.9773,34.3947,10,23,Tier1,8000,1.4
SHM_03,Naama Bay,Sharm El Sheikh,Leisure,27.9158,34.3299,0,23,Tier1,12000,1.7
SHM_04,Sharks Bay,Sharm El Sheikh,Nature,27.963,34.3965,6,18,Tier2,4000,0.9
SHM_05,Old Market,Sharm El Sheikh,Market,27.8605,34.3048,9,23,Tier2,6000,0.9
DAH_01,Blue Hole,Dahab,Nature,28.5729,34.5362,6,18,Tier1,5000,1.5
DAH_02,Dahab Lagoon,Dahab,Nature,28.4622,34.5,6,18,Tier2,3500,0.9
DAH_03,Lighthouse Reef,Dahab,Nature,28.495,34.5168,6,18,Tier2,3000,0.9
DAH_04,Three Pools,Dahab,Nature,28.43,34.5,6,18,Tier3,2000,0.7
HRG_01,Giftun Island,Hurghada,Nature,27.227,33.9214,7,18,Tier1,6000,1.5
HRG_02,Hurghada Marina,Hurghada,Leisure,27.2314,33.8417,0,23,Tier1,10000,1.6
HRG_03,Mahmya Island,Hurghada,Nature,27.252,33.843,7,18,Tier2,3500,0.9
HRG_04,Sand City,Hurghada,Cultural,27.12,33.826,9,18,Tier3,2500,0.7
FYM_01,Wadi El Hitan,Fayoum,Nature,29.2715,30.1795,7,17,Tier1,4000,1.4
FYM_02,Tunis Village,Fayoum,Cultural,29.4336,30.6415,8,20,Tier2,2500,0.9
FYM_03,Lake Qarun,Fayoum,Nature,29.5,30.6,6,18,Tier1,5000,1.2
FYM_04,Wadi El Rayan,Fayoum,Nature,29.2333,30.6167,6,18,Tier1,6000,1.5
